driverId,stop,lap,time,duration
hamilton,1,26,15:43:14,21.850
albon,1,26,15:43:25,21.279
norris,1,26,15:43:33,23.637
perez,1,26,15:43:34,22.383
leclerc,1,26,15:43:38,22.756
sainz,1,26,15:43:41,23.827
vettel,1,26,15:43:55,22.231
gasly,1,26,15:44:02,22.466
kvyat,1,26,15:44:12,22.769
ocon,1,26,15:44:17,21.683
latifi,1,26,15:45:08,22.058
albon,2,51,16:15:09,21.842
norris,2,51,16:15:19,21.921
leclerc,2,51,16:15:24,21.972
kvyat,2,51,16:15:41,21.622
raikkonen,2,51,16:15:48,21.569
vettel,2,51,16:15:55,22.738
latifi,2,51,16:16:23,21.918
sainz,2,52,16:17:02,21.805
giovinazzi,2,55,16:22:14,22.800
bottas,2,56,16:23:58,16.407
hamilton,2,56,16:24:00,16.365
perez,2,56,16:24:01,16.546
norris,3,56,16:24:03,18.163
albon,3,56,16:24:03,17.035
perez,1,2,18:11:56,23.993
gasly,1,4,18:16:14,38.338
alonso,1,11,18:27:32,24.373
norris,1,12,18:29:05,24.899
leclerc,1,12,18:29:06,24.925
stroll,1,12,18:29:09,24.884
giovinazzi,1,12,18:29:14,31.998
hamilton,1,13,18:30:29,24.839
ricciardo,1,13,18:30:45,24.688
raikkonen,1,13,18:30:52,24.107
ocon,1,13,18:30:55,25.226
russell,1,13,18:31:02,24.621
latifi,1,14,18:32:44,26.046
mick_schumacher,1,14,18:32:58,25.798
sainz,1,15,18:34:04,24.353
tsunoda,1,15,18:34:12,25.046
bottas,1,16,18:35:24,24.262
max_verstappen,1,17,18:36:54,24.767
perez,2,19,18:40:35,24.105
gasly,2,19,18:41:17,24.317
vettel,1,24,18:49:08,24.626
hamilton,2,28,18:54:40,24.076
stroll,2,28,18:55:23,25.525
raikkonen,2,29,18:57:06,24.046
alonso,2,29,18:57:13,24.775
bottas,2,30,18:57:58,32.897
giovinazzi,2,30,18:58:53,24.223
ocon,2,31,19:00:29,24.471
leclerc,2,32,19:01:40,24.176
ricciardo,2,32,19:01:44,24.655
hamilton,1,11,18:21:54,25.201
alonso,1,11,18:22:10,25.365
mick_schumacher,1,12,18:24:08,25.214
albon,1,13,18:25:47,24.874
max_verstappen,1,14,18:26:43,24.897
sainz,1,14,18:26:50,24.666
kevin_magnussen,1,14,18:27:07,25.478
gasly,1,14,18:27:08,24.575
ocon,1,14,18:27:11,30.484
bottas,1,14,18:27:19,25.893
latifi,1,14,18:27:38,24.457
leclerc,1,15,18:28:19,25.012
perez,1,15,18:28:32,25.046
russell,1,15,18:28:38,25.888
tsunoda,1,15,18:28:57,26.095
zhou,1,15,18:29:03,25.428
ricciardo,1,17,18:32:46,24.915
stroll,1,18,18:34:18,25.739
hulkenberg,1,19,18:36:11,27.365
norris,1,24,18:44:41,24.568
alonso,2,25,18:45:53,24.909
hamilton,2,27,18:48:44,25.796
tsunoda,2,29,18:52:37,24.350
max_verstappen,2,30,18:53:16,24.937
ocon,2,30,18:54:12,25.393
leclerc,2,31,18:54:52,24.527
gasly,2,32,18:57:23,25.875
latifi,2,32,18:58:19,24.778
sainz,2,33,18:58:21,24.438
perez,2,33,18:58:23,24.173
