driverId,stop,lap,time,duration
vandoorne,1,9,16:20:40,39.562
ocon,1,15,16:29:32,22.154
giovinazzi,1,15,16:29:57,28.591
alonso,1,16,16:31:00,22.484
hulkenberg,1,16,16:31:01,23.130
hamilton,1,17,16:31:40,21.709
perez,1,17,16:32:20,22.045
sainz,1,18,16:33:49,21.762
massa,1,20,16:36:44,21.568
vettel,1,23,16:40:32,21.988
bottas,1,25,16:43:42,21.440
max_verstappen,1,25,16:43:56,22.208
raikkonen,1,26,16:45:16,22.033
stroll,2,29,16:51:13,22.380
hulkenberg,2,30,16:52:40,23.159
kvyat,1,34,16:57:51,25.559
kevin_magnussen,2,44,17:15:10,22.189
kvyat,2,49,17:20:30,24.026
brendon_hartley,1,1,16:15:04,22.213
raikkonen,1,18,16:40:07,21.421
hamilton,1,19,16:41:30,21.821
leclerc,1,20,16:44:03,22.242
max_verstappen,1,21,16:45:06,20.953
kevin_magnussen,1,22,16:46:31,21.983
sainz,1,22,16:46:46,23.868
brendon_hartley,2,22,16:47:37,22.296
ocon,1,23,16:48:25,21.854
grosjean,1,24,16:49:31,23.054
hulkenberg,1,24,16:49:35,22.628
perez,1,24,16:49:51,22.327
vandoorne,1,25,16:51:17,22.474
bottas,1,25,16:51:21,21.664
stroll,1,25,16:51:46,25.504
vettel,1,26,16:52:19,21.787
ricciardo,1,26,16:52:59,21.440
alonso,1,26,16:53:09,22.573
leclerc,2,27,16:56:25,22.836
stroll,2,29,16:59:57,21.397
kubica,1,1,16:15:28,32.997
ricciardo,1,1,16:15:30,33.027
raikkonen,1,12,16:31:50,23.299
hulkenberg,1,13,16:33:19,21.588
perez,1,13,16:33:28,23.234
vettel,1,14,16:34:28,21.995
kevin_magnussen,1,14,16:34:47,22.388
albon,1,14,16:34:57,21.780
hamilton,1,15,16:35:52,21.515
grosjean,1,15,16:36:19,29.981
norris,1,15,16:36:25,21.627
bottas,1,23,16:47:33,22.014
max_verstappen,1,25,16:50:47,21.157
kvyat,1,26,16:52:54,22.086
russell,1,26,16:53:46,21.689
stroll,1,27,16:54:21,22.471
giovinazzi,1,27,16:54:58,27.172
leclerc,1,28,16:55:26,22.306
kubica,2,28,16:58:10,22.343
gasly,1,37,17:09:14,21.269
russell,2,42,17:18:18,21.543
kubica,3,44,17:22:42,21.889
grosjean,1,20,15:37:03,23.280
raikkonen,1,24,15:41:31,23.229
giovinazzi,1,25,15:42:49,23.659
russell,1,25,15:42:53,21.417
bottas,1,26,15:43:06,21.937
